"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"Genre";"PublishingHouse";"LitPrizeName";"Nomination";"signature_date";"global_id";
"89";"2018";"Ложь Гамлета";"[Игорь Савельев]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 2 место";"29.04.2020 10:46:40";"919214992";
"90";"2018";"Дистимия";"[Булат Ханов]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 3 место";"29.04.2020 10:44:31";"919214993";
"91";"2018";"Лицей 2018. Номинация «Поэзия»";"[Андрей Фамицкий]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Поэзия. 1 место";"29.04.2020 10:44:31";"919216700";
"92";"2018";"Лицей 2018. Номинация «Поэзия»";"[Елена Жамбалова]";"2018";"18+";"Трагедия";"Издательские решения";"Лицей";"Поэзия. 2 место";"29.04.2020 10:41:52";"919216701";
"93";"2018";"Лицей 2018. Номинация «Поэзия»";"[Софья Серебрякова]";"2018";"18+";"Трагедия";"Издательские решения";"Лицей";"Поэзия. 3 место";"29.04.2020 10:45:27";"919216702";
"94";"2018";"От атомов к древу: Введение в современную науку о жизни";"[Сергей Ястребов]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Естественные и точные науки. Победитель";"29.04.2020 10:44:31";"919216580";
"95";"2018";"Страдающее средневековье";"[Сергей Зотов Михаил Майзульс Дильшата Харман]";"2018";"16+";"Трагедия";"АСТ";"Просветитель";"Гуманитарные науки. Победитель";"29.04.2020 10:41:52";"919216581";
"96";"2018";"Байки из грота: 50 историй из жизни древних людей";"[Станислав Дробышевский]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:46:40";"919216582";
"97";"2018";"Несовременная страна. Россия в мире ХХI века";"[Владислав Иноземцев]";"2018";"16+";"Трагедия";"Альпина Паблишер";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:44:31";"919216690";
"98";"2018";"1917. Семнадцать очерков по истории российской революции";"[Борис Колоницкий]";"2017";"16+";"Трагедия";"Издательство Европейского университета в Санкт-Петербурге";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:46:40";"919216692";
"99";"2018";"Математика для гуманитариев. Живые лекции";"[Алексей Савватеев]";"2018";"0+";"Трагедия";"Университет Дмитрия Пожарского";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:40:42";"919216694";
"100";"2018";"Кавказская война. Семь историй";"[Амиран Урушадзе]";"2018";"16+";"Трагедия";"НЛО";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:36:41";"919216696";
"101";"2018";"Воля и самоконтроль. Как гены и мозг мешают нам бороться с соблазнами";"[Ирина Якутенко]";"2018";"12+";"Трагедия";"Альпина нон-фикшн";"Просветитель";"Финалист. Короткий список";"29.04.2020 10:36:41";"919216697";
"102";"2018";"Теория невероятностей";"[Виктория Ледерман]";"2018";"6+";"Трагедия";"КомпасГид";"КНИГУРУ";"Лучшее произведение для детей и юношества. 2 место";"29.04.2020 10:40:42";"919216698";
"103";"2019";"Финист - ясный сокол";"[Рубанов Андрей Викторович]";"2019";"18+";"Трагедия";"АСТ";"Национальный бестселлер";"Лауреат";"29.04.2020 10:40:42";"1035304875";
"104";"2019";"Я буду всегда с тобой";"[Етоев Александр Васильевич]";"2019";"16+";"Трагедия";"Азбука";"Национальный бестселлер";"Номинант";"29.04.2020 10:36:41";"1035304877";
"105";"2019";"Четверо";"[Пелевин Александр Сергеевич]";"2018";"16+";"Трагедия";"Пятый Рим";"Национальный бестселлер";"Номинант";"29.04.2020 10:45:27";"1035304879";
"106";"2019";"XX век представляет. Кадры и кадавры";"[Трофименков Михаил Сергеевич]";"2018";"18+";"Драма";"Флюид";"Национальный бестселлер";"Номинант";"29.04.2020 10:41:52";"1035304931";
"107";"2019";"Калечина-Малечина";"[Евгения Некрасова]";"2018";"18+";"Драма";"АСТ";"Национальный бестселлер";"Номинант";"29.04.2020 10:45:27";"1035304939";
"108";"2019";"Славянские отаку";"[Упырь Лихой]";"2018";"18+";"Драма";"Флюид";"Национальный бестселлер";"Номинант";"29.04.2020 10:40:41";"1035304945";
